".id","long","lat","order","hole","piece","id","group"
"2017",-2100000,825000,1,FALSE,"1","0","0.1"
"2017",-2050000,825000,2,FALSE,"1","0","0.1"
"2017",-2050000,775000,3,FALSE,"1","0","0.1"
"2017",-2075000,775000,4,FALSE,"1","0","0.1"
"2017",-2125000,775000,5,FALSE,"1","0","0.1"
"2017",-2125000,8e+05,6,FALSE,"1","0","0.1"
"2017",-2100000,8e+05,7,FALSE,"1","0","0.1"
"2017",-2100000,825000,8,FALSE,"1","0","0.1"
"2017",-2225000,775000,1,FALSE,"1","1","1.1"
"2017",-2200000,775000,2,FALSE,"1","1","1.1"
"2017",-2200000,725000,3,FALSE,"1","1","1.1"
"2017",-2175000,725000,4,FALSE,"1","1","1.1"
"2017",-2175000,7e+05,5,FALSE,"1","1","1.1"
"2017",-2150000,7e+05,6,FALSE,"1","1","1.1"
"2017",-2150000,675000,7,FALSE,"1","1","1.1"
"2017",-2125000,675000,8,FALSE,"1","1","1.1"
"2017",-2125000,625000,9,FALSE,"1","1","1.1"
"2017",-2150000,625000,10,FALSE,"1","1","1.1"
"2017",-2150000,525000,11,FALSE,"1","1","1.1"
"2017",-2175000,525000,12,FALSE,"1","1","1.1"
"2017",-2175000,5e+05,13,FALSE,"1","1","1.1"
"2017",-2225000,5e+05,14,FALSE,"1","1","1.1"
"2017",-2225000,525000,15,FALSE,"1","1","1.1"
"2017",-2250000,525000,16,FALSE,"1","1","1.1"
"2017",-2250000,575000,17,FALSE,"1","1","1.1"
"2017",-2225000,575000,18,FALSE,"1","1","1.1"
"2017",-2225000,650000,19,FALSE,"1","1","1.1"
"2017",-2250000,650000,20,FALSE,"1","1","1.1"
"2017",-2250000,675000,21,FALSE,"1","1","1.1"
"2017",-2225000,675000,22,FALSE,"1","1","1.1"
"2017",-2200000,675000,23,FALSE,"1","1","1.1"
"2017",-2200000,7e+05,24,FALSE,"1","1","1.1"
"2017",-2225000,7e+05,25,FALSE,"1","1","1.1"
"2017",-2225000,725000,26,FALSE,"1","1","1.1"
"2017",-2250000,725000,27,FALSE,"1","1","1.1"
"2017",-2250000,750000,28,FALSE,"1","1","1.1"
"2017",-2225000,750000,29,FALSE,"1","1","1.1"
"2017",-2225000,775000,30,FALSE,"1","1","1.1"
"2017",-1800000,375000,1,FALSE,"1","2","2.1"
"2017",-1775000,375000,2,FALSE,"1","2","2.1"
"2017",-1775000,350000,3,FALSE,"1","2","2.1"
"2017",-1800000,350000,4,FALSE,"1","2","2.1"
"2017",-1800000,375000,5,FALSE,"1","2","2.1"
"2017",-1e+06,3100000,1,FALSE,"1","3","3.1"
"2017",-7e+05,3100000,2,FALSE,"1","3","3.1"
"2017",-7e+05,3075000,3,FALSE,"1","3","3.1"
"2017",-650000,3075000,4,FALSE,"1","3","3.1"
"2017",-650000,3050000,5,FALSE,"1","3","3.1"
